make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,BE,25950,Compact,Used,5.0,No,13863.0,Manual,Benzin,Metallic,Dealer,5.0,80.0,5.0,129.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.6,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,31950,Compact,Used,5.0,No,23644.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,0.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25000,Compact,Used,5.0,Yes,78300.0,Automatic,Benzin,non-metallic,Dealer,5.0,100.0,7.0,127.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,14700,Compact,Used,5.0,Yes,93914.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,92.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,32800,Compact,Used,5.0,Yes,17900.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,175.0,4WD,No,No,Euro 6,Leather,First Hand,1.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,8950,Compact,Used,5.0,Yes,199000.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,105.0,Front,No,No,Euro 5,Leather,Second Hand,10.0,5.2,Standart,Medium,Middle,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,66990,Compact,Used,5.0,Yes,48000.0,Automatic,Benzin,non-metallic,Dealer,5.0,310.0,8.0,192.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,8.4,Standart,Medium,Middle,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,NL,56980,Compact,Used,5.0,No,58592.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,Second Hand,3.0,8.3,Upgrated,Medium,Premium,luxury,luxury
Mercedes Benz A 200,Mercedes Benz,NL,46999,Compact,Used,5.0,No,5934.0,Automatic,Benzin,Metallic,Dealer,5.0,110.0,7.0,138.0,Front,Yes,No,Euro 6,Leather,First Hand,1.0,6.1,Standart,Low,Premium,standard,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,NL,32999,Compact,Used,5.0,No,100229.0,Automatic,Benzin,Metallic,Dealer,5.0,266.0,7.0,165.0,4WD,Yes,No,Euro 6,Leather,Second Hand,7.0,7.1,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,NL,39495,Compact,Used,5.0,No,54510.0,Automatic,Benzin,Metallic,Dealer,5.0,280.0,7.0,162.0,4WD,Yes,No,Euro 6,Leather,Second Hand,5.0,6.9,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 250,Mercedes Benz,NL,38850,Compact,Used,5.0,No,49627.0,Automatic,Benzin,non-metallic,Dealer,5.0,202.0,7.0,145.0,Front,No,No,Euro 6,Cloth,First Hand,4.0,6.2,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 180,Mercedes Benz,NL,10950,Compact,Used,5.0,No,194367.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,92.0,Front,Yes,No,Euro 5,Leather,Second Hand,8.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,NL,16750,Compact,Used,5.0,No,184748.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,6.0,98.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,30950,Compact,Used,5.0,No,115949.0,Automatic,Benzin,Metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,6.9,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 180,Mercedes Benz,NL,12950,Compact,Used,5.0,No,236233.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,89.0,Front,No,No,Euro 6,Leather,Second Hand,6.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,NL,12445,Compact,Used,5.0,No,177477.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,89.0,Front,Yes,No,Euro 6,Leather,Second Hand,6.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,NL,48950,Compact,Used,5.0,No,59012.0,Automatic,Benzin,Metallic,Dealer,5.0,225.0,7.0,169.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,28445,Compact,Used,5.0,No,117613.0,Automatic,Benzin,Metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,9.0,6.9,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 200,Mercedes Benz,NL,48136,Compact,Used,5.0,No,4537.0,Automatic,Benzin,Metallic,Dealer,5.0,110.0,7.0,138.0,Front,Yes,No,Euro 6,Leather,First Hand,1.0,6.1,Standart,Low,Premium,standard,luxury
Mercedes Benz A 200,Mercedes Benz,NL,51999,Compact,Used,5.0,No,6642.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,138.0,Front,Yes,No,Euro 6,Leather,First Hand,1.0,6.1,Standart,Low,Premium,standard,luxury
Mercedes Benz A 180,Mercedes Benz,NL,14945,Compact,Used,5.0,Yes,188018.0,Automatic,Benzin,Metallic,Dealer,5.0,90.0,8.0,131.0,Front,Yes,No,Euro 6,Leather,Second Hand,8.0,5.6,Standart,Medium,Premium,standard,standard
